"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.811347754E1,9.032905847E-2,2.760719061E0,9.468399048E0
2.813150378E1,1.752742529E-1,2.735594511E0,9.516255379E0
2.814953131E1,1.842473447E-1,2.697907448E0,9.397212982E0
2.816756042E1,1.082752272E-1,2.688934565E0,9.401998520E0
2.818558947E1,4.187439755E-2,2.733201742E0,9.387641907E0
2.820361572E1,1.040877849E-1,2.746362209E0,9.497113228E0
2.822163244E1,9.930214286E-2,2.712264538E0,9.631111145E0
2.823967712E1,1.501496136E-1,2.684148788E0,9.306285858E0
2.825770520E1,4.486542568E-2,2.642872572E0,9.206384659E0
2.827573901E1,2.632104978E-2,2.638087034E0,9.359525681E0
2.829376281E1,-2.093719877E-2,2.609373093E0,9.493523598E0
2.831179181E1,-2.093719877E-2,2.604587555E0,9.507881165E0
2.832982074E1,1.256231871E-2,2.609373093E0,9.483952522E0
2.834785113E1,-1.136590727E-2,2.599801779E0,9.450452805E0
2.836587878E1,-4.007977992E-2,2.586043119E0,9.483952522E0
2.838390863E1,1.196411345E-2,2.595016241E0,9.450452805E0
2.840193646E1,1.136590727E-2,2.532802820E0,9.451051712E0
2.841996618E1,6.340979785E-2,2.513062000E0,9.412766457E0
2.843799395E1,-7.776673418E-3,2.528615236E0,9.417551994E0
2.845602313E1,-5.084748194E-2,2.466402054E0,9.527621269E0
2.847405267E1,-1.734796353E-2,2.475374937E0,9.565906525E0
2.849208233E1,1.196411322E-3,2.475374937E0,9.555737495E0
2.851011102E1,1.555334684E-2,2.480160713E0,9.465408325E0
2.852813989E1,-6.041877344E-2,2.499901533E0,9.503693581E0
2.854616784E1,-1.028913707E-1,2.496312141E0,9.498908043E0
2.856419403E1,-8.434699476E-2,2.471785784E0,9.498908043E0
2.858221099E1,-5.084748194E-2,2.467000246E0,9.484550476E0
2.860025543E1,1.196411322E-3,2.470589399E0,9.479764938E0
2.861828326E1,1.196411322E-3,2.447259426E0,9.484550476E0
2.863631707E1,-1.375873014E-2,2.423331022E0,9.494122505E0
2.865434167E1,-4.666004330E-2,2.423929453E0,9.508479118E0
2.867237121E1,-7.058826834E-2,2.400599241E0,9.484550476E0
2.869039917E1,-8.434699476E-2,2.443071842E0,9.532406807E0
2.870842950E1,-6.999006122E-2,2.457428932E0,9.489336014E0
2.872645684E1,-7.058826834E-2,2.404786825E0,9.527621269E0
2.874448577E1,-8.973085321E-3,2.408974171E0,9.537193298E0
2.876251495E1,-5.682953820E-2,2.380858421E0,9.494720459E0
2.878054498E1,-6.640082598E-2,2.371287346E0,9.547362328E0
2.879857293E1,-4.725824669E-2,2.385644197E0,9.522835732E0
2.881660260E1,-6.640082598E-2,2.376072884E0,9.485149384E0
2.883463043E1,-5.264209956E-2,2.352144718E0,9.513862610E0
2.885266058E1,-7.537391037E-2,2.390429735E0,9.527621269E0
2.887068829E1,-1.088734269E-1,2.381456852E0,9.523433685E0
2.888871716E1,-6.640082598E-2,2.385644197E0,9.489934921E0
2.890674615E1,-3.828516230E-2,2.356930256E0,9.489934921E0
2.892477600E1,-8.135596663E-2,2.343171597E0,9.523433685E0
2.894280462E1,-9.032905847E-2,2.395813704E0,9.489934921E0
2.896083410E1,-2.871387079E-2,2.390429735E0,9.466006279E0
2.897886200E1,-7.058826834E-2,2.371287346E0,9.642477036E0
2.899689184E1,-6.640082598E-2,2.381456852E0,9.470791817E0
2.901491546E1,-1.190429255E-1,2.382653236E0,9.322437286E0
2.903293341E1,-9.511470050E-2,2.367099762E0,9.499505997E0
2.905097747E1,-8.075776696E-2,2.356930256E0,9.585049629E0
2.906900793E1,-5.264209956E-2,2.333002090E0,9.513862610E0
2.908703930E1,-7.178468257E-2,2.314457655E0,9.432506561E0
2.910506530E1,-1.333998591E-1,2.348555326E0,9.533005714E0
2.912309307E1,-1.423729509E-1,2.367697954E0,9.566504478E0
2.914112347E1,-1.381855011E-1,2.338984251E0,9.528220177E0
2.915915094E1,-7.657032460E-2,2.319243431E0,9.533005714E0
2.917717980E1,-8.135596663E-2,2.333600283E0,9.504291534E0
2.919520886E1,-1.004985496E-1,2.319243431E0,9.513862610E0
2.921323901E1,-1.244267747E-1,2.300698996E0,9.528220177E0
2.923126678E1,-9.032905847E-2,2.333600283E0,9.552147865E0
2.924929669E1,-1.286142170E-1,2.315055847E0,9.547362328E0
2.926732428E1,-1.004985496E-1,2.309672117E0,9.556933403E0
2.928535473E1,-1.190429255E-1,2.324627161E0,9.523433685E0
2.930338238E1,-1.525424421E-1,2.310868502E0,9.504291534E0
2.932141131E1,-1.339980662E-1,2.300698996E0,9.513862610E0
2.933944030E1,-1.525424421E-1,2.315055847E0,9.504889488E0
2.935747021E1,-1.052841991E-1,2.295315027E0,9.523433685E0
2.937549823E1,-1.196411327E-1,2.300698996E0,9.504889488E0
2.939352819E1,-1.477568001E-1,2.310270309E0,9.533005714E0
2.941155609E1,-1.663011760E-1,2.334796667E0,9.537791252E0
2.942958636E1,-1.758724600E-1,2.334796667E0,9.518648148E0
2.944761358E1,-1.238285750E-1,2.319841623E0,9.528220177E0
2.946564117E1,-1.148554832E-1,2.310270309E0,9.499505997E0
2.948366186E1,-1.286142170E-1,2.319841623E0,9.528220177E0
2.950168682E1,-1.238285750E-1,2.319841623E0,9.509077072E0
2.951972754E1,-1.292124242E-1,2.291127682E0,9.518648148E0
2.953775256E1,-1.333998591E-1,2.310270309E0,9.542576790E0
2.955579089E1,-1.627119333E-1,2.282154560E0,9.524032593E0
